geoid,1995,2000,2001,2003,2004,2005,2010,2015
17001,12504.7,44146.7,54659.3,74423.3,484.1,71058.9,108640.3,145322.6
17003,2691.4,15383.9,16774.9,26991.6,43,26753.5,41423.7,42560.2
17005,7526.1,24800.8,34429.9,44045.6,3,41197.3,58384.8,60786.7
17007,3730.4,19510.3,17104.1,29655.3,26.2,22134.5,48384.2,47791.8
17009,4373.9,13797.5,16941.1,23716.6,147.2,21965.7,27955.1,36773.7
17011,12776,51672.7,94703.8,101136.3,16.2,108490.9,189027.1,204781.3
17013,2659.5,6804.8,8230,12680,0.7,9606.5,13876.3,15558.9
17015,4761.9,17142.4,30794.4,38940.1,4.2,45191,77448.6,86726
17017,8122.5,21121.2,27092.4,30930,2,29809.4,49624,63194.2
17019,7583.9,58457.6,60214.3,108759.1,844,107186.2,277347.3,252709.5
17021,18777.3,56852.9,77041.9,87175,6,85529.7,137220.9,156451.1
17023,17953.1,25156.1,34773.6,51720.4,531.1,57854.9,93063.1,76448.5
17025,14405.8,26421.6,35253.8,60243.5,523.3,57798.7,95552.1,71317.2
17027,10776.5,43015.8,50565.6,82123.1,116.1,81094.1,155054,159380.1
17029,19111.5,27618.7,37246.1,58003.2,571.4,63890.4,115018.9,93773.8
17031,1222.3,3043.4,3060.7,2644.4,3,2853.3,2510.2,2958.2
17033,14410.2,21884.7,29334.4,44878.2,478.9,50394.9,87675.2,69702.2
17035,11919.2,17753.3,23971.8,35543.7,360.3,39991.1,70981.9,55337.1
17037,8982.6,48364.4,46111,74738.8,79,56921.4,127574.7,139372.3
17039,3762.7,26299,35418,46889.2,36.4,49338.2,86559.1,116590.1
17041,19525.5,29053.3,38535.6,60984.8,581.7,65706.8,110751.3,88823.9
17043,462.4,1163.3,1528.5,1572.9,0.8,981.8,1784.2,1760
17045,24594.8,38032.4,50273.7,77737,761.8,86708,159723.8,131101.1
17047,2463.9,9430.4,16127.6,20437.4,129.8,23223,19673.8,30860.5
17049,15809.7,23649.5,33108.9,53208.9,514.6,56709.5,92393.7,74455.4
17051,19285.4,30716.8,45087.7,71922,699.9,76701.7,127763.8,103893.3
17053,3987.9,29755.9,30791.1,57224.9,427.2,54711,143963.8,132092.6
17055,3289.4,14866.2,26184.2,33370.6,250.4,39465.2,24745.4,37850.5
17057,11514.7,43858.5,54792.2,72781.1,472.9,66665.6,97666.6,125212.6
17059,4963,17659.8,29666.6,32387.5,259.2,35792.6,28960.3,50446
17061,10097.1,33765.2,42537.6,55124,3.4,47990.4,80068.2,87006.5
17063,5933.1,32277.2,29680.8,50907.4,38.4,41661.6,78614.5,85863.9
17065,3748.1,18108.3,33198.5,37353.6,273.2,45593.5,34240.7,58499.7
17067,14866.8,53589.1,64528.7,91439.3,581.2,86067.8,120286.2,168961.8
17069,344.7,842.4,1743.2,2919.8,16,2266.7,2176.3,3540.4
17071,5036.6,23059.9,29740.8,38896.3,244.3,37077.8,54762.9,78105.2
17073,11514.6,50394.8,90377.4,102321.1,13,117259.6,181626.5,200928.2
17075,8409.9,63602.3,66911.1,120199.6,947.6,117005.3,316420.1,289848.7
17077,6864.9,35770,35053.5,60531.8,88.3,58510.5,108310.9,120796.1
17079,18243.8,28332.3,38860.4,59151.9,601.3,64941.2,111409.2,88236.6
17081,2993.9,17368.2,31870.1,37071.6,277.1,44615,31563,46679.1
17083,6109.8,19052.1,25109.8,30996,2.1,29935.4,42910.9,48000.9
17085,3565.1,12119.6,22722.1,29215.4,3.5,33339,60024.8,69559.8
17087,1512,6932.8,8614.6,10464.4,18,11547.8,22210.4,25409.3
17089,5002.9,23922.8,22506.1,37904.5,36.9,28029.2,54373.6,56017.6
17091,4334.3,33185.3,34267.9,59588.7,458.2,56532.8,159574.5,147725.8
17093,4646.6,24344.5,22194.2,37288.8,26.7,30120.1,54249.9,57710.1
17095,11554.8,46844,56726.8,80885.7,472.8,72449.2,106344.7,150221.4
17097,1600.6,5698,4370.9,6893.6,5.5,4966.7,8231.4,7703.2
17099,16448.6,86300.8,79817.1,136408.1,154.8,112041.9,218129.6,234322.5
17101,12489.3,19001.5,26648.6,43384.4,414.9,46529.3,78229.9,63337.6
17103,11040.6,44234.1,75737.5,82114.9,49.6,92728.3,162101.7,174938.9
17105,8596.1,64241.4,65595.9,119282.8,978.2,119946.3,303512.4,274731.9
17107,6474.8,43899.2,60425.1,76689.5,57.4,79513.2,140788.7,191468.2
17109,11274.9,44644.4,52652.1,71883.9,480.6,70024.8,98107.5,134911.1
17111,6245.8,25487.4,24075.8,41466.9,26.7,31980.8,61396.7,66364.4
17113,12026.5,83615.3,111778.3,143443,103.9,147022.2,266869.6,355041.7
17115,5416.8,39693.7,51498.6,67062.6,50.8,69103.3,118937.6,161068.9
17117,17320,50691.9,68030.4,81857.5,5.4,74859.5,124774,141474.6
17119,12106.1,39555,54357.7,65068.6,4.5,64108.7,89083.6,99558.9
17121,14353.2,23352.7,31879.1,51728.5,468.1,52234.6,85195.6,65140.2
17123,3538.7,22110.6,30233,38677.4,31.6,39038.1,75695.1,102587.1
17125,3892.9,27750.9,38646.3,48065.2,147.7,46053.7,84016.1,118002.7
17127,1905.9,8282.1,14282.5,17899.1,126.8,19435,12520,21081.9
17129,3071.2,20617.3,27816.9,35689,27.1,37135.6,60344.7,80936.4
17131,7182.4,30703.8,56310.1,61698.5,8.2,75601.1,111091.1,124310.9
17133,6266.5,35612.2,36941.9,59995.2,85.9,56779.2,100198.4,112879.6
17135,14965.6,49136.6,64726.2,77115.5,5.4,77099.8,119543.1,131513.7
